"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"8409","商之器",9.04,339.57,818.61,793.99,-119.77,1.91,191.09,29.79,12.25,1.74,0.50,-16.00,-18.30,-25.66,-32.00,-2.68,0.00,0.00,0.00
"8410","森田",23.59,195.88,337.15,291.34,93.56,2.46,148.37,5.14,71.01,1.33,0.57,12.28,16.61,64.76,21.27,5.69,87.40,77.22,9.64
"8415","大國鋼",43.27,1398.44,411.82,70.56,5.75,11.35,32.15,0.92,396.73,15.12,0.90,4.23,6.11,10.11,3.79,0.72,32.82,-57.61,4.70
"8416","實威",21.13,350.17,394.04,360.05,1048.00,3.82,95.54,6.88,53.05,3.70,0.90,21.14,26.84,88.18,23.53,7.24,108.19,116.49,7.20
"8421","旭源",75.63,131.47,117.31,63.95,-4.33,3.81,95.80,3.19,114.42,1.05,0.52,-4.84,-22.24,-31.12,-11.08,-2.81,-14.47,-34.44,-6.27
"8423","保綠-KY",48.58,141.48,242.01,176.42,8.63,5.78,63.14,7.58,48.15,0.92,0.55,4.65,7.58,16.24,7.45,1.26,70.96,57.28,6.39
"8424","惠普",12.67,848.79,683.39,625.36,89283.50,6.38,57.21,11.39,32.04,7.26,0.94,15.89,18.40,49.52,16.85,4.02,171.98,144.09,13.10
"8426","紅木-KY",33.63,190.18,209.94,167.13,47.25,4.14,88.16,6.93,52.66,3.51,1.30,12.25,20.26,47.80,9.30,4.05,42.39,71.05,2.94
"8431","匯鑽科",33.57,173.44,183.61,168.91,16.51,2.58,141.47,21.25,17.17,1.74,0.67,5.71,7.85,28.05,7.55,1.96,51.82,74.06,18.03
"8432","東生華",9.03,4126.12,895.33,857.85,"NA",3.31,110.27,4.47,81.65,23.48,0.50,6.57,7.29,23.25,13.25,1.94,86.75,133.12,8.03
"8433","弘帆",25.13,556.38,253.10,231.48,3157.72,4.75,76.84,17.99,20.28,8.86,1.36,13.98,19.20,47.43,10.23,4.01,47.51,90.21,0.96
"8435","鉅邁",15.62,371.07,546.58,505.56,494.40,4.07,89.68,6.90,52.89,3.12,0.73,11.60,13.60,44.24,15.79,3.27,101.50,121.34,4.23
"8436","大江",31.93,364.20,379.15,299.91,54.73,5.48,66.60,4.09,89.24,2.74,0.69,7.56,10.72,35.78,10.78,3.08,51.84,65.66,6.92
