"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"8040","九暘",31.93,255.87,227.85,184.50,"NA",17.07,21.38,4.37,83.52,2.90,0.79,-10.87,-15.46,-17.95,-13.83,-1.71,12.54,143.06,3.84
"8042","金山電",49.24,303.52,181.09,133.29,287.79,2.37,154.00,2.48,147.17,2.24,0.49,0.49,0.28,4.90,0.29,0.09,30.52,66.34,16.89
"8043","蜜望實",47.55,2167.92,214.80,181.54,262.55,2.33,156.65,10.74,33.98,47.15,1.34,0.69,1.22,5.66,0.52,0.37,0.68,35.53,-0.99
"8044","網家",75.19,1405.24,149.56,124.90,6.56,86.79,4.20,22.10,16.51,76.99,2.66,1.67,5.63,25.74,0.50,2.16,16.71,37.96,13.02
"8047","星雲",20.25,517.41,396.44,261.38,23998.00,11.56,31.57,2.40,152.08,6.03,0.93,1.86,2.32,2.81,2.01,0.27,0.06,136.09,0.01
"8048","德勝",20.90,414.23,417.73,369.66,8918.47,5.57,65.52,4.77,76.51,3.24,0.63,11.45,14.86,28.66,18.16,2.69,30.76,84.30,-5.34
"8049","晶采",20.02,566.75,398.50,290.77,46343.03,8.99,40.60,3.81,95.80,6.45,0.87,11.97,14.64,25.80,13.74,2.06,111.49,105.80,6.16
"8050","廣積",41.09,393.07,392.30,256.98,3.11,5.77,63.25,2.55,143.13,2.22,0.49,0.96,1.08,3.72,1.40,0.74,-32.98,13.85,-7.68
"8054","安國",15.16,8680.90,499.96,439.52,-261.98,10.37,35.19,3.40,107.35,31.16,0.41,0.07,0.00,-1.19,0.00,-0.60,79.82,84.81,16.22
"8059","凱碩",21.80,9095.55,186.71,177.52,-8.85,2.13,171.36,9.62,37.94,58.76,0.51,-0.24,-0.38,-0.40,-0.58,-0.04,14.23,87.83,3.74
"8064","東捷",60.79,452.50,154.35,95.75,4.14,1.55,235.48,1.31,278.62,4.76,0.49,1.18,2.41,5.66,1.82,0.22,0.00,48.56,-3.81
