"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"6288","聯嘉",52.52,254.40,177.04,110.67,867.18,5.59,65.29,4.01,91.02,4.84,1.25,5.06,9.00,14.27,4.79,1.21,32.58,73.40,13.58
"6405","悅城",26.71,264.18,907.49,895.88,0.01,2.66,137.21,41.09,8.88,0.46,0.23,0.28,0.02,-1.30,0.07,0.01,49.11,77.93,1.68
"6409","旭隼",52.81,234.04,143.57,120.72,51.82,6.34,57.57,9.30,39.24,7.47,1.47,24.72,47.05,314.01,16.47,25.87,56.91,102.93,26.71
"6412","群電",61.80,275.85,130.89,83.86,45.14,4.17,87.52,4.35,83.90,12.23,1.58,8.07,22.08,57.40,5.00,4.51,27.26,87.12,22.80
"6414","樺漢",68.63,966.76,133.56,101.07,7.64,4.57,79.86,5.32,68.60,17.10,0.99,4.25,11.24,456.11,3.71,13.22,12.44,61.23,14.28
"6415","矽力*-KY",8.62,936.17,720.28,566.15,2952.80,14.16,25.77,3.13,116.61,7.80,0.71,15.25,16.74,263.62,21.58,25.83,210.17,85.40,14.30
"6416","瑞祺電通",34.07,3297.36,267.78,138.88,130.06,4.06,89.90,2.16,168.98,72.58,1.11,8.27,12.51,62.37,7.39,4.28,16.21,38.68,-0.54
"6423","億而得-創",14.28,1189.09,873.00,860.00,294.81,12.08,30.21,"NA","NA",7.39,0.50,7.53,8.42,9.27,15.00,0.74,143.29,305.00,14.81
"6426","統新",18.24,393.61,406.67,370.78,2902.76,4.49,81.29,3.56,102.52,2.05,0.48,7.55,9.16,30.57,15.18,2.78,61.45,129.68,6.40
"6431","光麗-KY",36.64,3405.73,217.36,209.69,0.00,2.70,135.18,42.65,8.55,47.09,0.85,-5.50,-7.34,-5.38,-6.48,-0.60,-45.26,-65.65,-14.99
